Coordinate;Color(R,G,B);Luminosity(L/L_sun)
(5.898099193645523,-3.9930330429248064,-50.69877585563548);(255,255,0);0.08432219231386262
(6.103759636019504,11.34527169897383,-38.263283160368964);(255,255,255);30.244480386124547
(49.14724762405631,-9.59941616921501,41.09772741163061);(255,255,0);9.507116727697066e-05
(8.367459593178065,-7.641173873963907,45.244492609714904);(255,255,255);0.5288611591001477
(4.4507257670381115,-0.6649304805027453,44.63606413066258);(255,255,0);0.2708554049719251
(9.617106467779548,0.7941353783219747,42.19186086863756);(255,255,0);0.001055712175871519
(-5.776058239691497,26.59564188910912,197.2216073257496);(255,255,0);0.0013067698732525913
(33.85763813039023,98.09998950070256,19.912154502798604);(255,255,0);0.04839574151839123
(1.2333754091331246,-7.702627588288894,-0.5065564495861787);(255, 0, 0);1.0
(-73.19306906948526,29.19660326149573,14.14543773679085);(255,255,255);1.7591103282687848
(34.930742338065485,15.290916597926532,10.789024229698393);(255,255,0);1.0
(-5.772091751328558,27.18774159321686,-9.160684456224827);(255,255,0);0.00532579060650281
(49.818836528610646,-19.814605052646684,48.83189276257056);(255,255,255);0.14253554526241863
(2.454609489619148,3.6549083223928633,-31.621836334063357);(255,255,255);0.5797671505985214
(-67.79375535593601,-35.22006507626227,39.96604624741277);(255,255,0);0.005025275489312891
(78.23882888547239,145.51213049365606,-41.65869165204833);(255,255,255);0.06066245851298435
(-33.15529983426322,43.20997803339812,-1.8751621322607142);(255,255,0);0.015312438349851727
(11.049485362892893,-3.909432649541095,32.714890925975936);(255,255,0);0.33784972590717216
(-37.20421868901988,63.320681740244325,16.973105816747246);(255,255,255);8.854032767204039
(68.93802515416576,76.17258624926536,-54.454973225830884);(255,255,255);2.194746834141091
(-112.83358534245212,63.611116176229935,146.9036588728659);(255,255,255);0.5179844699826306
(-7.07524626941671,-3.0366416357285777,-11.509929696383615);(255,255,255);1.0
(55.14653377359348,110.73006414751909,-29.95230148832451);(255,255,0);0.0583236606920366
(118.29466484539017,74.44747878485246,-106.1201396938566);(255,255,0);0.0200652703054142
(-8.065866040545153,-40.60231914673754,81.94280750805964);(255,255,0);0.20534300107072312
(4.6775724550333955,-7.040260363322897,-41.07186627537911);(255, 0, 0);1.0
(88.11036855683956,-22.338104743152307,4.500022437453159);(255,255,0);5.4410402459841585
(37.58915937387419,44.21660446821606,-48.31981176788781);(255, 0, 0);0.014729124475362653
(17.858598239657184,-2.7267610691010606,-42.336451156927225);(255,255,0);1.0
(-25.47527709234832,32.40283882451241,19.888254266851998);(255,255,0);1.0
(1.811152778363418,0.2593122616259647,-3.7116056253973704);(255,255,0);0.0038881687108503855
(5.029957280350031,-6.176195267304568,5.042143046600887);(255,255,255);1.0
(6.088349705831956,-7.498586112266197,-5.801834061509858);(255,255,0);0.0005381632127858812
(-3.283394231985552,-28.113603188082838,28.5197075090387);(0, 0, 255);0.004440743105575173
(-1.1939412984290674,-6.067545072874577,-2.0768539509258415);(255,255,255);0.23352095772468673
(-2.602347630748371,-6.2302774984199445,-5.672201058382484);(255,255,0);2.0732489163087138
(-111.21197280852721,52.670701280299376,28.745824634599238);(255,255,0);0.004193851262227241
(-3.116697998740166,2.166384437167001,-5.0847981786964445);(255,255,255);10.316093568063788
(-15.0946990553043,-11.334963669977807,-17.958403789830943);(255,255,0);1.0
(0.4014527147383878,-5.936190533567087,-27.64803135967947);(0, 0, 255);1.0
(18.768687631649627,-6.5726711843602805,-66.72515182133789);(255,255,0);0.03923054371852576
(105.98895679277533,6.489079194633191,14.353235704241655);(255,255,0);0.007908786218684377
(-6.15851163311656,9.801701161738885,-10.416177662649568);(255,255,255);0.13851607158780072
(-53.343152967975655,-35.103994162073384,107.43496300262714);(255,255,0);0.24656123318283607
(5.354339224624822,10.620429284244164,25.911736304559856);(255,255,0);0.07446350773667842
(-19.827603249002227,26.574510969531172,5.256539771394266);(255,255,255);0.001043842989506216
(-2.1354616039908128,-0.28897819205516556,-3.9097055004475134);(255, 0, 0);0.010723804037810428
(0.13831036510576403,10.507639598364422,6.285912492307091);(255,255,255);0.69100742199959
(3.4742722918859026,-1.823961364636922,5.0083643595995975);(0, 0, 255);0.805929506574199
(1.9956585252179144,6.74025389216133,11.0662034534791);(255,255,0);0.17404814910378033
(10.641452093777168,11.133750216599802,-8.83713694985049);(255,255,255);0.5354434532712632
(-4.3580283511133295,17.258516323949962,-3.2118702492389235);(255,255,0);0.18499622742618702
(-8.455724812400957,14.111257668661002,-13.040535287352483);(255,255,0);0.04446319919358027
(37.52388136964746,7.257103641173939,0.8230172484322001);(255,255,255);517.8014601360444
(-66.96743207345727,45.62821103168697,70.0489198981461);(0, 0, 255);0.0009928091694241256
(-56.8189861438894,-10.389696345763369,2.1413967847182973);(255,255,255);23.899895680385473
(0.9186519791517265,-5.648549123197696,50.60802570628325);(255,255,255);77.49306475742212
(-4.662336630836608,6.913814031418874,-15.741235907309495);(255,255,255);0.19877731887696154
(68.31500470777542,-18.720249576322697,-33.426891890431506);(255,255,255);1.7933931516806525
(2.4509593056915047,10.330297482963601,1.4792308225681554);(255,255,255);0.14842363880850706
(13.359518764496071,-13.961647756165657,51.01395012463072);(255,255,0);0.21642904628449738
(-1.0135570385311,-27.42346436168072,-2.4274759729438626);(255,255,0);0.004733248727621028
(122.16911994715188,122.70766102472392,-38.40521029283613);(255,255,0);0.018939839272401962
(33.051119791902906,4.2047644018725965,-39.657097561929916);(255,255,255);0.46371805106733227
(-0.855133492652426,1.2573296032922916,-19.287047058276777);(255,255,0);0.11586817215677049
(13.915976879999791,48.43505739082318,-44.34420053936831);(255,255,0);0.05615743032901477
(42.58304239852745,-18.952139558215702,35.650110611604866);(255,255,0);0.0001704492844100316
(119.20083725870273,54.828584312755076,24.790739332421342);(255,255,255);5.063422946787326
(-6.223871797002659,-13.722918796499602,109.60419606187374);(255,255,0);0.19186687403764963
(-5.277449872442187,-1.156120748894226,-8.445562844863472);(255,255,255);0.18004815674905
(141.607192303168,5.188965126574129,55.40578341989346);(255, 0, 0);0.009679967110977454
(63.39637087493481,87.3083311643984,34.926665879698646);(255,255,0);0.007636350570675381
(1.3896489231446782,-1.2553591261564292,-7.23347370530667);(255,255,0);0.04277183605825461
(3.9068971617203263,-54.35861203730462,68.99090145867946);(255,255,0);0.1650637128460459
(36.556283054345556,-13.963122042487452,-41.974594240831166);(255,255,0);0.06019667748392282
(-11.6550786231521,17.33857764993218,36.54277997573727);(255,255,255);0.0048155716087443885
(-16.450777352407403,3.385795021269881,-17.31746733361271);(255,255,255);0.1319229234498568
(2.884398513973858,-9.477712246523526,0.46058077981844187);(255,255,0);0.0030723086989270206
(0.0004411803454224888,1.983410313608539,-46.97083027514191);(255,255,0);0.0016288666223134476
